,id,aeroplane_cnt,bicycle_cnt,bird_cnt,boat_cnt,bottle_cnt,bus_cnt,car_cnt,cat_cnt,chair_cnt,cow_cnt,diningtable_cnt,dog_cnt,horse_cnt,motorbike_cnt,person_cnt,pottedplant_cnt,sheep_cnt,sofa_cnt,train_cnt,tvmonitor_cnt
0,2007_000032,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,2007_000039,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,2007_000063,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
3,2007_000068,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2007_000121,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,2007_000170,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6,2007_000241,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2007_000243,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2007_000250,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9,2007_000256,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2007_000333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,2007_000363,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2007_000364,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
13,2007_000392,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
14,2007_000480,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15,2007_000504,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
16,2007_000515,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
17,2007_000528,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,2007_000549,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
19,2007_000584,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,2007_000645,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2007_000648,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
22,2007_000713,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2007_000720,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,2007_000733,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
25,2007_000738,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2007_000768,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2007_000793,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,2007_000822,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
29,2007_000836,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
30,2007_000876,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
31,2007_000904,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
32,2007_001027,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
33,2007_001073,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
34,2007_001149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
35,2007_001185,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
36,2007_001225,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,2007_001340,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
38,2007_001397,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39,2007_001416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
40,2007_001420,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
41,2007_001439,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
42,2007_001487,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2007_001595,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2007_001602,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2007_001609,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
46,2007_001698,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,2007_001704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
